Grid scores on validation set:
0.961 (+/-0.026) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.650 (+/-0.661) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.388 (+/-0.641) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.958 (+/-0.020) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.754 (+/-0.452) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.926 (+/-0.058) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.725 (+/-0.424) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.653 (+/-0.157) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.964 (+/-0.012) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.623 (+/-0.353) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.947 (+/-0.050) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.681 (+/-0.316) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.540 (+/-0.308) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.972 (+/-0.012) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.886 (+/-0.199) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.669 (+/-0.095) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.933 (+/-0.149) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.794 (+/-0.275) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.522 (+/-0.536) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.960 (+/-0.025) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.858 (+/-0.228) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.640 (+/-0.128) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.963 (+/-0.005) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.596 (+/-0.210) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.138 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.967 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.600 (+/-0.145) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.611 (+/-0.105) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.954 (+/-0.034) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.711 (+/-0.356) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.589 (+/-0.201) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.966 (+/-0.013) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.824 (+/-0.190) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.592 (+/-0.278) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.958 (+/-0.049) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.668 (+/-0.353) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.660 (+/-0.120) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.972 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.770 (+/-0.265) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.513 (+/-0.521) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.786 (+/-0.420) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.646 (+/-0.091) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.531 (+/-0.538) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.960 (+/-0.005) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.559 (+/-0.349) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.614 (+/-0.193) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.925 (+/-0.165) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.768 (+/-0.286) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.524 (+/-0.250) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.967 (+/-0.013) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.770 (+/-0.247) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.688 (+/-0.019) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.964 (+/-0.032) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.844 (+/-0.250) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.623 (+/-0.279) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.972 (+/-0.011) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.719 (+/-0.423) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.138 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.960 (+/-0.036) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.824 (+/-0.348) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.512 (+/-0.509) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.972 (+/-0.010) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.639 (+/-0.334) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.670 (+/-0.089) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.955 (+/-0.035) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.606 (+/-0.261) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.669 (+/-0.092) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
